source,rotation_deg,flip_lr,flip_ud,crop_top,crop_bottom,crop_left,crop_right,specimen
TMR/Mixed/Gauss/tmr_potcore_mixed_frontside_gaussian_300x300_3.88_1000hz_z3_20260204_061325.tdms,270,0,0,,,,,
TMR/Mixed/Square/tmr_potcore_mixed_frontside_square_300x300_2.1_200hz_z1_20260203_090623.tdms,270,0,0,,,,,
TMR/Mixed/Square/tmr_potcore_mixed_frontside_square_300x300_2.1_200hz_z2_20260203_125232.tdms,270,0,0,,,,,
TMR/Mixed/Square/tmr_potcore_mixed_frontside_square_300x300_2.1_200hz_z3_20260203_200047.tdms,270,0,0,,,,,
TMR/Rivet/Chirp/tmr_rivet_frontside_chirp_300x300_f500_1500_z1_20260201_235200.tdms,0,0,0,,,,,
TMR/Rivet/Chirp/tmr_rivet_frontside_chirp_300x300_f500_1500_z2_20260202_031530.tdms,0,0,0,,,,,
TMR/Rivet/Chirp/tmr_rivet_frontside_chirp_300x300_f500_1500_z3_20260202_064002.tdms,0,0,0,,,,,
TMR/Rivet/Gauss/tmr_rivet_frontside_gaussian_300x300_1000hz_z1_20260202_100624.tdms,0,0,0,,,,,
TMR/Rivet/Gauss/tmr_rivet_frontside_gaussian_300x300_1000hz_z2_20260202_132958.tdms,0,0,0,,,,,
TMR/Rivet/Gauss/tmr_rivet_frontside_gaussian_300x300_1000hz_z3_20260202_165433.tdms,0,0,0,,,,,
TMR/Rivet/Square/tmr_rivet_frontside_square_300x300_200hz_z1_20260131_074757.tdms,0,0,0,,,,,
TMR/Rivet/Square/tmr_rivet_frontside_square_300x300_200hz_z2_20260131_230930.tdms,0,0,0,,,,,
TMR/Rivet/Square/tmr_rivet_frontside_square_300x300_200hz_z3_20260201_101443.tdms,0,0,0,,,,,
Differential/Corrosion/ChirpBackside/diff_corosion_backside_chirp_1mm_S2_20260612_181812.tdms,270,0,1,,,,,
Differential/Corrosion/ChirpBackside/diff_corosion_backside_chirp_2mm_S2_20260613_010532.tdms,270,0,1,,,,,
Differential/Corrosion/ChirpBackside/diff_corosion_backside_chirp_3mm_S2_20260613_043138.tdms,270,0,1,,,,,
Differential/Corrosion/ChirpFrontside/diff_corosion_frontside_chp_z1_S2_20260610_122754.tdms,90,0,0,,,,,
Differential/Corrosion/ChirpFrontside/diff_corosion_frontside_chp_z2_S2_20260610_155250.tdms,90,0,0,,,,,
Differential/Corrosion/ChirpFrontside/diff_corosion_frontside_chp_z3_S2_20260610_192254.tdms,90,0,0,,,,,
Differential/Corrosion/GaussBackside/diff_corosion_backside_gaussian_1khz_1mm_S2_20260611_194513.tdms,270,0,1,,,,,
Differential/Corrosion/GaussBackside/diff_corosion_backside_gaussian_1khz_2mm_S2_20260612_100434.tdms,270,0,1,,,,,
Differential/Corrosion/GaussBackside/diff_corosion_backside_gaussian_1khz_3mm_S2_20260612_145154.tdms,270,0,1,,,,,
Differential/Corrosion/GaussFrontside/diff_corosion_frontside_gau_1khz_z1_S2_20260609_122630.tdms,90,0,0,,,,,
Differential/Corrosion/GaussFrontside/diff_corosion_frontside_gau_1khz_z2_S2_20260609_155033.tdms,90,0,0,,,,,
Differential/Corrosion/GaussFrontside/diff_corosion_frontside_gau_1khz_z3_S2_20260609_191603.tdms,90,0,0,,,,,
Differential/Corrosion/SquareBackside/diff_corosion_backside_square_200hz_1mm_S2_20260611_092914.tdms,270,0,1,,,,,
Differential/Corrosion/SquareBackside/diff_corosion_backside_square_200hz_2mm_S2_20260611_125409.tdms,270,0,1,,,,,
Differential/Corrosion/SquareBackside/diff_corosion_backside_square_200hz_3mm_S2_20260611_161956.tdms,270,0,1,,,,,
Differential/Corrosion/SquareFrontside/diff_corosion_frontside_sq_200hz_z1_S2_20260608_114707.tdms,90,0,0,,,,,
Differential/Corrosion/SquareFrontside/diff_corosion_frontside_sq_200hz_z2_S2_20260608_162721.tdms,90,0,0,,,,,
Differential/Corrosion/SquareFrontside/diff_corosion_frontside_sq_200hz_z3_S2_20260609_090011.tdms,90,0,0,,,,,
Differential/Mixed/Chirp/diff_mixed_frontside_chirp_500-1500hz_1mm_S2_20260617_113652.tdms,90,0,0,,,,,
Differential/Mixed/Chirp/diff_mixed_frontside_chirp_500-1500hz_2mm_S2_20260617_150137.tdms,90,0,0,,,,,
Differential/Mixed/Chirp/diff_mixed_frontside_chirp_500-1500hz_3mm_S2_20260617_182713.tdms,90,0,0,,,,,
Differential/Mixed/Gauss/diff_mixed_frontside_gaussian_1khz_1mm_S2_20260616_235150.tdms,90,0,0,,,,,
Differential/Mixed/Gauss/diff_mixed_frontside_gaussian_1khz_2mm_S2_20260617_031627.tdms,90,0,0,,,,,
Differential/Mixed/Gauss/diff_mixed_frontside_gaussian_1khz_3mm_S2_20260617_064147.tdms,90,0,0,,,,,
Differential/Mixed/Square/diff_mixed_frontside_sq_200hz_z1_S2_20260614_225145.tdms,90,0,0,,,,,
Differential/Mixed/Square/diff_mixed_frontside_sq_200hz_z2_S2_20260616_121957.tdms,90,0,0,,,,,
Differential/Mixed/Square/diff_mixed_frontside_square_200hz_3mm_S2_20260616_193500.tdms,90,0,0,,,,,
Differential/Rivet/Chirp/diff_rivet_frontside_chirp_1mm_S2_20260614_110628.tdms,90,0,0,,,,,
Differential/Rivet/Chirp/diff_rivet_frontside_chirp_2mm_S2_20260614_145634.tdms,90,0,0,,,,,
Differential/Rivet/Chirp/diff_rivet_frontside_chirp_3mm_S2_20260614_182219.tdms,90,0,0,,,,,
Differential/Rivet/Gauss/diff_rivet_frontside_gauss_1khz_1mm_S2_20260614_005200.tdms,90,0,0,,,,,
Differential/Rivet/Gauss/diff_rivet_frontside_gauss_1khz_2mm_S2_20260614_041558.tdms,90,0,0,,,,,
Differential/Rivet/Gauss/diff_rivet_frontside_gauss_1khz_3mm_S2_20260614_074113.tdms,90,0,0,,,,,
Differential/Rivet/Square/diff_rivet_frontside_sq_200hz_1mm_S2_20260613_143233.tdms,90,0,0,,,,,
Differential/Rivet/Square/diff_rivet_frontside_sq_200hz_2mm_S2_20260613_180008.tdms,90,0,0,,,,,
Differential/Rivet/Square/diff_rivet_frontside_sq_200hz_3mm_S2_20260613_212544.tdms,90,0,0,,,,,
HallPotCore/Rivet/SquareFrontside/rivet_frontside_square_300x300_z3_20260119_154600.tdms,90,0,0,,,,,
